precio_cobre,Inflación PERU,anio,inflacion_usa,precio_zinc,reservas,pbi,Rendimientos_log
383.07,5.88,2023,0.06,108.71,74361.66,562.71,-0.07982960165248495
426.08,2.13,2024,0.05,126.33,75503.65,590.75,0.043367229115129864
443.53,1.69,2025,0.05,125.14,87331.92,610.16,-0.05731445659598031
232.61,4.04,2015,0.0,81.99,60054.42,477.18,-0.09418721505970107
215.24,2.94,2016,0.01,103.46,61600.86,504.74,0.030397477184370948
294.5,3.17,2017,0.01,135.35,61845.89,519.17,-0.03039747718437093
274.55,1.07,2018,0.02,114.0,60667.55,531.22,0.015314234973042356
258.78,2.04,2019,0.02,103.06,68049.51,550.95,0.026988144717646757
295.19,1.69,2020,0.0,109.43,74823.13,500.46,0.05468988629662025
424.42,4.95,2021,0.0,135.56,73539.69,560.57,0.13597937426316262
361.8,8.4,2022,0.03,162.27,75059.39,571.83,-0.05270981641952826
378.89,5.58,2023,0.06,108.86,73495.68,572.16,-0.04750233398500325
406.81,2.03,2024,0.05,123.18,80344.52,594.83,0.01342302033214055
437.52,1.1,2025,0.05,126.27,87439.08,612.58,-0.05480823649499503
236.65,3.9,2015,0.0,78.03,61846.32,477.18,-0.09756624393100735
214.2,3.13,2016,0.01,103.98,61946.45,504.74,0.048494349938610355
298.34,2.94,2017,0.01,141.38,63314.76,519.17,-0.03922071315328127
274.46,1.28,2018,0.02,110.44,59477.3,531.22,0.018293193047325483
261.24,1.85,2019,0.02,105.76,68539.43,550.95,0.014992784586141318
304.47,1.82,2020,0.0,111.15,74883.06,500.46,0.057819570888826236
422.93,5.23,2021,0.0,137.84,76095.6,560.57,0.14366248364420423
350.84,8.53,2022,0.03,142.27,75393.87,571.83,-0.052446475372542545
375.16,5.04,2023,0.06,112.86,72384.5,572.16,-0.04456831947987652
419.78,1.78,2024,0.05,128.86,82859.16,594.83,0.010666767804195228
451.45,1.36,2025,0.04,132.9,87846.35,612.58,-0.07145896398214498
236.6,3.66,2015,0.0,78.21,62132.88,496.81,-0.07696104113612832
214.61,3.41,2016,0.01,104.85,61679.74,507.65,0.042174925050712714
308.79,2.04,2017,0.01,148.08,63900.28,525.97,-0.042174925050712804
282.12,1.84,2018,0.02,121.28,58993.94,547.45,0.02431730765070643
261.15,1.88,2019,0.02,111.21,68537.64,562.28,0.008968669982760316
304.03,1.72,2020,0.0,110.75,73716.1,543.98,0.06899287148695142
443.81,5.83,2021,0.0,153.03,75672.41,569.9,0.1103480571688652
345.69,8.28,2022,0.03,134.25,75246.48,584.81,-0.01000008333458331
360.14,4.34,2023,0.06,111.09,71616.01,580.51,-0.03320867099665346
432.69,2.01,2024,0.05,140.75,83664.33,602.44,-0.02365419089788983
,1.35,2025,0.04,,89168.82,612.58,-0.09477840632728929
217.72,4.17,2015,0.0,71.82,62572.48,489.32,-0.023669744085904734
247.25,3.35,2016,0.01,116.4,61723.4,506.53,0.017804624633506686
309.65,1.54,2017,0.01,146.48,63679.94,516.82,-0.04820210181787763
281.04,2.17,2018,0.02,117.74,59172.79,542.98,0.04230237969068937
265.8,1.87,2019,0.02,110.02,67620.0,555.52,-0.0029629651306569606
320.39,2.14,2020,0.0,121.1,73076.2,543.82,0.06879502798051922
442.95,5.66,2021,0.0,150.47,78939.96,564.23,0.10757413028614016
364.23,8.45,2022,0.04,132.62,74911.54,576.77,-0.032872745000574674
370.91,3.64,2023,0.06,115.35,72755.53,580.26,-0.0313341561704355
411.63,2.27,2024,0.05,136.04,83498.29,605.81,0.0026490081715768625
,1.8,2025,0.04,,90017.62,612.58,-0.1118483001365689
210.62,4.4,2015,0.01,69.32,61963.0,543.21,0.0029542118974316043
255.91,3.23,2016,0.01,120.45,61667.51,562.11,0.0029455102297567446
311.07,1.36,2017,0.02,145.27,63366.42,570.09,-0.045120435280469544
274.95,2.19,2018,0.03,118.3,60528.17,596.93,0.03625774802262437
276.11,1.9,2019,0.02,103.11,68605.23,604.33,-0.002971770389157593
351.92,1.97,2020,0.0,126.34,76301.51,610.57,0.07176679836967664
433.32,6.43,2021,0.0,155.26,78792.62,622.96,0.11253691962826913
379.29,8.46,2022,0.05,141.3,74041.03,631.19,-0.05077232537342326
381.2,3.24,2023,0.06,113.8,73128.32,624.33,-0.026386755173194887
404.31,1.97,2024,0.05,137.88,82594.38,656.62,0.0
